year,condition,cylinders,fuel,miles,status,transmission,drive,type,color,manufacturer,price_cad
2006.0,unknown,6 ,gas,184100.0,clean,automatic,4wd,SUV,other,gmc,8132.8
2013.0,good,6 ,gas,69000.0,clean,automatic,4wd,SUV,other,ford,20393.2
2005.0,excellent,6 ,gas,168718.0,clean,automatic,fwd,mini-van,other,honda,5977.200000000001
2017.0,unknown,8 ,gas,71252.0,clean,automatic,4wd,pickup,other,chevrolet,51673.200000000004
2018.0,unknown,6 ,gas,2083.0,clean,automatic,4wd,truck,white,ford,115598.64000000001
2013.0,unknown,6 ,gas,97195.0,clean,automatic,4wd,SUV,silver,bmw,20366.0
2012.0,unknown,4 ,gas,139062.0,clean,automatic,fwd,sedan,white,toyota,14957.28
2001.0,like new,4 ,gas,126147.0,clean,automatic,fwd,sedan,unknown,honda,4078.6400000000003
2012.0,excellent,4 ,gas,121161.0,clean,automatic,fwd,mini-van,black,dodge,13595.92
2012.0,unknown,4 ,gas,156909.0,clean,automatic,4wd,pickup,white,chevrolet,21753.2
2011.0,unknown,4 ,other,113113.0,clean,automatic,4wd,SUV,other,chevrolet,28553.2
2015.0,good,4 ,gas,24813.0,clean,automatic,fwd,sedan,black,cadillac,28553.2
2017.0,unknown,4 ,gas,49263.0,clean,automatic,4wd,truck,other,gmc,46238.64000000001
2008.0,unknown,4 ,gas,1.0,clean,automatic,fwd,pickup,unknown,nissan,3400.0000000000005
2018.0,good,4 ,other,9520.0,clean,other,fwd,sedan,white,toyota,35346.4
2014.0,excellent,4 ,gas,136058.0,clean,automatic,fwd,SUV,other,honda,16317.28
2019.0,like new,8 ,diesel,3800.0,clean,automatic,4wd,truck,other,ford,108732.00000000001
2012.0,excellent,8 ,gas,83215.0,clean,automatic,4wd,pickup,white,chevrolet,24463.68
2019.0,unknown,8 ,diesel,59582.0,clean,automatic,4wd,truck,unknown,gmc,85680.0
2010.0,excellent,4 ,gas,59051.0,clean,automatic,fwd,SUV,white,ford,14958.640000000001
2007.0,unknown,4 ,other,198594.0,clean,automatic,fwd,van,other,dodge,3806.6400000000003
2010.0,unknown,4 ,gas,131817.0,clean,automatic,fwd,sedan,silver,ford,10193.2
2018.0,unknown,4 ,gas,36305.0,clean,automatic,4wd,SUV,white,audi,44741.280000000006
2014.0,good,4 ,electric,45308.0,clean,other,fwd,hatchback,other,ford,16306.400000000001
2005.0,unknown,4 ,diesel,171811.0,clean,automatic,4wd,SUV,unknown,ford,33847.68
2020.0,good,6 ,gas,3592.0,clean,other,4wd,pickup,white,gmc,49762.4
2012.0,unknown,4 ,gas,131903.0,clean,automatic,fwd,sedan,unknown,ford,12226.400000000001
2012.0,excellent,6 ,gas,149500.0,clean,automatic,4wd,truck,other,ford,27880.000000000004
1954.0,unknown,6 ,gas,0.0,clean,manual,rwd,pickup,other,chevrolet,38760.0
1996.0,good,4 ,diesel,125000.0,clean,automatic,4wd,van,other,toyota,19040.0
2020.0,excellent,6 ,gas,31954.0,clean,automatic,4wd,SUV,other,chevrolet,29913.2
2007.0,unknown,4 ,gas,1.0,clean,automatic,fwd,sedan,unknown,nissan,3536.0000000000005
